,Player,2019/20,2019/20(*)
121,Markelle Fultz,"$9,745,200","$9,745,200"
122,John Henson,"$9,732,396","$9,732,396"
123,Matthew Dellavedova,"$9,607,500","$9,607,500"
124,Dante Exum,"$9,600,000","$9,600,000"
125,Deandre Ayton,"$9,562,920","$9,562,920"
126,Delon Wright,"$9,473,684","$9,473,684"
127,Jerami Grant,"$9,346,153","$9,346,153"
127,Fred VanVleet,"$9,346,153","$9,346,153"
129,Al-Farouq Aminu,"$9,258,000","$9,258,000"
130,Kyle Anderson,"$9,073,050","$9,073,050"
131,Taj Gibson,"$9,000,000","$9,000,000"
132,Ja Morant,"$8,730,240","$8,730,240"
133,Lonzo Ball,"$8,719,320","$8,719,320"
134,E'Twaun Moore,"$8,664,928","$8,664,928"
135,Marvin Bagley,"$8,556,120","$8,556,120"
136,Bogdan Bogdanovic,"$8,529,386","$8,529,386"
137,PJ Tucker,"$8,349,039","$8,349,039"
138,Cristiano Felicio,"$8,156,500","$8,156,500"
139,Kentavious Caldwell-Pope,"$8,139,282","$8,139,282"
140,Ben Simmons,"$8,113,929","$8,113,929"
141,Maxi Kleber,"$8,000,000","$8,000,000"
141,Louis Williams,"$8,000,000","$8,000,000"
141,Elfrid Payton,"$8,000,000","$8,000,000"
141,Wayne Ellington,"$8,000,000","$8,000,000"
141,Thomas Bryant,"$8,000,000","$8,000,000"
146,RJ Barrett,"$7,839,960","$7,839,960"
147,Jayson Tatum,"$7,830,000","$7,830,000"
148,Jae Crowder,"$7,815,533","$7,815,533"
149,Luka Doncic,"$7,683,360","$7,683,360"
150,Joe Harris,"$7,666,667","$7,666,667"
151,Seth Curry,"$7,461,380","$7,461,380"
152,Langston Galloway,"$7,333,333","$7,333,333"
152,Doug McDermott,"$7,333,333","$7,333,333"
154,Derrick Rose,"$7,317,074","$7,317,074"
155,Brandon Ingram,"$7,265,485","$7,265,485"
156,Darius Miller,"$7,250,000","$7,250,000"
